timestamp,trade_price,side,trade_qty,bid_qty,ask_qty
2025-11-09T12:30:57+00:00,20000.0,SELL,7.747837,7.763002,10.39433
2025-11-09T12:30:57.029000+00:00,19998.98575332,SELL,5.346408,8.419878,7.714285
2025-11-09T12:30:57.051000+00:00,19998.49200418,BUY,2.19662,27.282791,7.312704
2025-11-09T12:30:57.085000+00:00,19999.84322285,SELL,9.695881,7.619446,14.817597
2025-11-09T12:30:57.102000+00:00,20000.04094238,BUY,15.396266,7.041515,8.937437
2025-11-09T12:30:57.127000+00:00,20002.00094205,BUY,15.481928,34.427964,47.367732
2025-11-09T12:30:57.136000+00:00,20000.24138706,BUY,66.556213,30.942746,2.311611
2025-11-09T12:30:57.163000+00:00,20002.92070667,BUY,47.173752,22.296496,44.697672
2025-11-09T12:30:57.177000+00:00,19993.70133603,SELL,12.094579,30.687789,27.608575
2025-11-09T12:30:57.214000+00:00,19990.79811323,SELL,5.323372,48.62268,64.239571
2025-11-09T12:30:57.244000+00:00,19992.86347908,SELL,9.903747,11.742947,18.55617
2025-11-09T12:30:57.245000+00:00,20001.24648157,SELL,10.534699,30.152214,50.758642
2025-11-09T12:30:57.257000+00:00,20000.93366869,SELL,6.829096,9.038725,12.559165
2025-11-09T12:30:57.274000+00:00,20002.27088299,SELL,13.933048,30.169285,19.175751
2025-11-09T12:30:57.298000+00:00,20000.05938577,SELL,3.041612,8.420585,7.426678
2025-11-09T12:30:57.333000+00:00,19993.3993357,BUY,1.291826,23.670444,12.775524
2025-11-09T12:30:57.362000+00:00,19995.18016348,BUY,17.780246,15.729145,20.870321
2025-11-09T12:30:57.384000+00:00,19993.57039086,BUY,6.077627,6.241275,24.254559
2025-11-09T12:30:57.419000+00:00,19989.27768392,BUY,6.483483,5.000522,7.840609
2025-11-09T12:30:57.452000+00:00,19998.82154441,BUY,3.819618,12.919434,21.105501
2025-11-09T12:30:57.476000+00:00,19995.02763567,BUY,6.519776,35.237926,9.570562
2025-11-09T12:30:57.507000+00:00,20020.42846202,BUY,7.2732,17.748924,12.721894
2025-11-09T12:30:57.532000+00:00,20020.45882744,BUY,15.904524,10.958375,31.718226
2025-11-09T12:30:57.573000+00:00,20029.05589522,BUY,18.61903,31.425563,7.861373
2025-11-09T12:30:57.615000+00:00,20031.82038485,BUY,5.78409,13.324646,16.232274
2025-11-09T12:30:57.663000+00:00,20023.3482234,BUY,1.617323,92.833513,29.204136
2025-11-09T12:30:57.701000+00:00,20020.99239893,BUY,11.247174,4.666915,6.927613
2025-11-09T12:30:57.743000+00:00,20021.55786439,BUY,21.656569,12.819217,22.107703
2025-11-09T12:30:57.753000+00:00,20024.24355407,SELL,20.774167,25.996632,25.173421
